narrative_name,text,system_actors_roles,system_relations,system_values_hits,manual_actors,manual_roles,manual_threat,manual_responsibility,manual_causal_relations,manual_values,manual_preferred_action,annotator_notes
Zionist,INTELLIGENCE REVEALS: BROTHER OF TERRORIST BEHIND U.S. SYNAGOGUE ATTACK WAS A HEZBOLLAH TERRORIST  Hezbollah commander Ibrahim Muhammad Ghazali was responsible for managing weapons operations within a specialized branch of the Badr Unit. The unit is responsible for launching,United States=neutral(0.0); Hezbollah=neutral(0.0); Ibrahimmuhammadghazal=neutral(0.0); Badrunit=neutral(0.0),(unattributed) --blames--> INTELLIGENCE REVEALS: BROTHER OF TERRORIST BEHIND U.S. SYNAGOGUE ATTACK WAS A HEZBOLLAH TERRORIST  Hezbollah commander I (0.35); (unattributed) --blames--> The unit (0.35),,,,,,,,,
Zionist,"ANOTHER CEASEFIRE VIOLATION: A terrorist crossed the Yellow Line in southern Gaza and approached IDF troops, posing an imminent threat.  The IAF struck and eliminated the terrorist in order to remove the threat.",Yellowline=neutral(0.0); Gaza=neutral(0.0); IDF=neutral(0.0); IAF=aggressor(0.85),,יציבות וסדר,,,,,,,,
Zionist,This morning we will continue to post videos and images that depict Hamas warcrimes and the sophistication of their premeditated attacks on civilian communities.,Hamas=neutral(0.0),,,,,,,,,,
Zionist,"🎙 Today's podcast is one of the most powerful channels for creating alternative communication, building personal branding and strengthening the image of you and your business.  The new videocast studios offer members of the Abu Ali Express group a particularly worthwhile promotion for those who want to start a high-level podcast - or for those who already have and want to level up.  🎥 4 sessions in the studio, each session lasting an hour and a half + full editing for the episode 💰 only 3,000 NIS instead of 4,500 NIS 👇 To leave details https://videocast.fillout.com/telegram",Abualiexpress=neutral(0.0),,,,,,,,,,
Zionist,"We've always extended a hand for peace, but it takes two to tango, unfortunately.",,,,,,,,,,,
Zionist,"For the full show:  bit.ly/4s3QcpC Elica Le Bon, an Iranian-American attorney, writer, and activist, debunks false claims that Israel dragged the U.S. into a war against the Iranian regime.  With the regime in Iran under attack, what are Iranians inside the country and in",Elicalebon=aggressor(0.15); Iran=aggressor(0.15); United States=aggressor(0.15); Israel=aggressor(0.15); United States=aggressor(0.15); Iran=aggressor(0.15); Iran=aggressor(0.15); Iran=aggressor(0.15),,,,,,,,,,
Zionist,"Gold Star wife here.  When ISIS killed your wife, you supported going after the people responsible. You understood exactly why we were fighting and never called it “Israel’s war.”  My husband, Alan, was killed by Iranian proxies in Iraq. And now, after decades, the fight is",Gold=neutral(0.0); ISIS=aggressor(0.85); Israel=neutral(0.0); Alan=victim(0.15); Iran=victim(0.15); Iraq=victim(0.85),,,,,,,,,,
Zionist,"This is who Iran targets.  An Iranian missile deliberately targeted a civilian residential neighborhood in Beit Shemesh, murdering 9 civilians. All nine victims have now been identified.  Four were children -  including three siblings.  May their memory be a blessing",Iran=neutral(0.0); Iran=victim(0.15); Beitshemesh=victim(0.85),,,,,,,,,,
Zionist,On the ice. On the track. On the snow Meet Israel’s athletes heading to Milano Cortina 2026.  Mariia Seniuk – Figure Skating  Jared Firestone – Skeleton  Dr. Attila Kertész – Cross-Country Skiing Carrying the blue and white with pride,Israel=neutral(0.0); Milanocortina=neutral(0.0); Mariia Seniuk=hero(0.15); Jaredfirestone=hero(0.15); Attila Kertész=hero(0.15); Country=hero(0.15),,,,,,,,,,
Zionist,"""We are here after 843 days of a civil struggle on a level that was unprecedented in the State of Israel. We did not stand by and the statement of 'until the last kidnapping' belonged to the entire community of Israeli citizens.""  Lee Siegel, the brother of captivity survivor Keith Siegel, who next week will mark the anniversary of his release, spoke today in front of the crowd that came to take part in the last Shabbat reception at the Kidnapped Square: ""My heart is now bursting with emotions of joy when I see Omri and Matan who were in captivity with Keith for too long. This is a family, we are all a family. It's not 'together we will win,' together is the victory! My brother Keith and my sister-in-law Aviva were kidnapped Aviva was in captivity for 484 days. 46 abductees were killed in captivity.  Photo credit: Uriel Ibn Sapir, Alon Gilboa Bring Them Home Now by @BringThemHomeNow A @grttme project - Other backups: @Hallotme",Stateofisrael=neutral(0.0); Israel=neutral(0.0); Leesiegel=neutral(0.0); Keithsiegel=neutral(0.0); Shabbat=neutral(0.0); Kidnappedsquare=neutral(0.0); Omri=neutral(0.0); Mata=neutral(0.0); Keith=neutral(0.0); Keith=neutral(0.0); Aviv=neutral(0.0); Aviv=neutral(0.0); Uriel Ibn Sapir=neutral(0.0); Alon Gilboa=neutral(0.0); Hallot=neutral(0.0),,סולידריות ואחריות קולקטיבית,,,,,,,,
Zionist,That Hamas decapitated them.,Hamas=neutral(0.0),,,,,,,,,,
Zionist,The moment of impact and the aftermath of an Iranian regime missile hitting a kindergarten in central Israel. This is a war crime.,Iran=aggressor(0.15); Israel=aggressor(0.15),,,,,,,,,,
Zionist,"Israeli pride on the NBA’s biggest stage  Deni Avdija named an NBA All-Star, a historic moment for Israeli basketball players. We’re proud of you. We’re with you all the way",Israel=hero(0.15); NBA=hero(0.15); Deni Avdija=neutral(0.0); NBA=neutral(0.0); All-star=neutral(0.0); Israel=neutral(0.0),,,,,,,,,,
Zionist,"""Ran Goyili is not just a name, Ran is a son, a friend, a brave YSM fighter who on October 7 ran into the fire and defended with his body Kibbutz Alumim and the home of all of us. Ran fought like a hero and was kidnapped to Gaza. He is a symbol of supreme sacrifice, and thanks to him many of us are alive today."" Hadassah, the sister of the late Shlomo Mansour, asked today at the Shabbat reception at the Kidnapped Square to connect two stories of heroism and death that were intertwined in one destiny: ""Ran's relationship with us goes back one generation: Itzik, Ran's father, was in the Nahal nucleus in Kibbutz Kissuf, with my beloved brother, Shlomo Mansour. There, among the fields of the Negev, the two met. Itzik talks about Shlomo with praise and appreciation and with great respect, about a good, honest man, one who was always there for others.  My brother, Shlomo Mansour, was brutally kidnapped from his home in Kibbutz Kissuf on October 7 when he was 85 years old and taken handcuffed to his car and from there to Gaza. Those who knew Shlomo know that it is impossible to miss him - with the eternal smile, the light that radiated from him and the famous mustache that was his hallmark. After 513 long and tormented days Solomon was returned to us in a transaction and buried in the land of Kissuf.  The connection between Ran the warrior and Shlomo, the brother and guide, is the story of the beautiful and painful Land of Israel. This is a story about generations of builders and defenders who tied their fate in this land.  Ran continued the same line of values, the same commitment, the same silent statement ""if needed, I'm here"", and today we should be here for him.  And when we accept Shabbat, we will remember the strength of his spirit, his smile and the light of Ran and the shining smile of Shlomo.  Their light will continue to light our way."" Photo credit: Paulina Fatimer, Uriel Ibn Sapir #ישראלמחקהלרני #אדהחטופהאקרון Bring Them Home Now by @BringThemHomeNow A @grttme project - Other backups: @Hallotme",Ran Go=hero(0.15); Ra=hero(0.15); YSM=hero(0.15); Kibbutzalumim=hero(0.15); Ra=hero(0.15); Gaza=hero(0.15); Hadassah=hero(0.15); Shlomo Mansour=hero(0.15); Shabbat=hero(0.15); Kidnappedsquare=hero(0.15); Ra=neutral(0.0); Itzik=neutral(0.0); Ra=neutral(0.0); Nah=neutral(0.0); Kibbutzkissuf=neutral(0.0); Shlomo Mansour=neutral(0.0); Negev=neutral(0.0); Itzik=neutral(0.0); Shlomo=neutral(0.0); Shlomo Mansour=victim(0.15); Kibbutzkissuf=victim(0.15); Gaza=victim(0.15); Shlomo=neutral(0.0); Solomon=victim(0.15); Kissuf=neutral(0.0); Ran=neutral(0.0); Shlomo=neutral(0.0); Landofisrael=neutral(0.0); Ra=neutral(0.0); Ra=hero(0.15); Paul=neutral(0.0); U=neutral(0.0); Ibn=neutral(0.0); Sa=neutral(0.0),we --proposes_action--> be here for him . (0.35),ביטחון והישרדות,,,,,,,,
Zionist,"""Three and a half months ago I was in a completely different place, with no one to pick me up in moments of crisis, to laugh or cry with me, just alone."" With these words, Ariel Konio opened his words this evening, at the last rally of Carmi Gat.   ""Today I stand here together with my brother David, who returned with me from captivity, surrounded by so many amazing people. We both stand here as living proof that even in the face of the most terrible darkness, the human spirit can win."" And David added and shared: ""There were many nights when I didn't know if I would get to see daylight again, if I would hug my childhood again, if I would get to see them laugh, if I would ever return home. And here I am."" David, Ariel and their family members thanked everyone who went out to the streets and squares to call for their release, to those who fought for them in the various sectors and to all those who did not stop, until the last abductee.  Bring Them Home Now by @BringThemHomeNow A @grttme project - Other backups: @Hallotme",Arielkonio=neutral(0.0); Car=neutral(0.0); Gat=neutral(0.0); David=neutral(0.0); David=neutral(0.0); David=neutral(0.0); Ariel=neutral(0.0),,,,,,,,,,
Zionist,"I mean, Tel Aviv is probably the most LGBTQ-friendly city in the entire region, and that matters.",Telaviv=neutral(0.0); LGBTQ=neutral(0.0),,,,,,,,,,
Zionist,BREAKING: Nine people have been murdered in the Iranian regime missile attacks on central Israel. Multiple others injured. May their memories forever be a blessing.,Iran=victim(0.15); Israel=victim(0.15),,,,,,,,,,
Zionist,"Dr. Harvey Risch discusses natural immunity, early treatment, 'vaccinating' children and scientific fraud  Dr. Harvey Risch is Professor of Epidemiology in the Department of Epidemiology and Public Health at the Yale School of Public Health and Yale School of Medicine.  Dr. Risch collates data from US doctors using early treatment multi-therapies. The scoreboard is now less than 24 deaths for 150,000 treated. That is a 0.016% rate. Early treatment is paramount.   [source]",Harveyrisch=neutral(0.0); Harveyrischemiology=neutral(0.0); Departmentofepidemiologyandpublichealth=neutral(0.0); Yaleschoolofpublichealth=neutral(0.0); Yaleschoolofmedicine=neutral(0.0); Risch=neutral(0.0); United States=neutral(0.0),,,,,,,,,,
Zionist,"Happy Sigd! We honor the faith and resilience of Jews of Ethiopian descent. For generations they gathered on distant mountaintops, praying to reach Jerusalem.  Sigd celebrates their heritage, their courage & the incredible journey that brought them home to Israel - a journey",Jews=hero(0.15); Ethiopian=hero(0.15); Jerusalem=neutral(0.0); Israel=hero(0.15),,מסורת ומורשת,,,,,,,,
Zionist,"Following on from this morning's report here on the channel 👆, the IDF spokesman confirms: During an operational activity of the Air Force in the skies over Iran, a surface-to-air missile was detected fired at an Israeli fighter jet. The crew acted in accordance with the procedures, no damage was caused to the aircraft and the mission was completed as planned. Since the beginning of the war, several attempts were made to attack Israeli fighter jets in the skies over Iran, the air crews successfully dealt with the threat. The Air Force will continue to fly and attack wherever That he will be required throughout Iran and will complete his tasks under threat in every operational sortie. To respond to the article, click here",👆=neutral(0.0); IDF=neutral(0.0); Airforce=neutral(0.0); Iran=neutral(0.0); Israel=neutral(0.0); Israel=hero(0.15); Iran=victim(0.7); Airforce=neutral(0.0); Iran=neutral(0.0),,,,,,,,,,
Zionist,"The infection fatality rate of COVID-19 inferred from seroprevalence data   John P.A. Ioannidis doi: https://doi.org/10.1101/2020.05.13.20101253  Now published in Bulletin of the World Health Organization doi: 10.2471/BLT.20.265892     ARTICLE Twenty steps to end the madness  https://climate-science.press/2021/10/04/twenty-steps-to-end-the-madness/  So much societal damage for a virus with an infection mortality rate (IFR) roughly similar (or likely lower once all infection data are collected) to seasonal influenza. Stanford’s John P.A. Ioannidis identified 36 studies (43 estimates) along with an additional 7 preliminary national estimates (50 pieces of data) and concluded that among people <70 years old across the world, infection fatality rates ranged from 0.00% to 0.57% with a median of 0.05% across the different global locations (with a corrected median of 0.04%). The rate of survival for those under 70 years is 99.5%. Moreover, the IFR has been shown to be near zero for children and young adults. While anyone is at risk of being infected, “there is more than a thousand-fold difference in the risk of death between the old and the young.”",CO=neutral(0.0); Johnpaioanni=neutral(0.0); Bulletinoftheworldhealthorganization=neutral(0.0); Stanford=neutral(0.0); Johnpaioannidis=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Zionist,"We just want to live in peace, but we also have to defend ourselves against those who want us gone.",,,ביטחון והישרדות,,,,,,,,
Zionist,"After everything that happened in Europe, well, we realized we needed our own home.",Europe=neutral(0.0),we --proposes_action--> needed our own home (0.35),,,,,,,,,
Zionist,"Big win for Israel’s cyber ecosystem    Palo Alto Networks acquires  startup Koi - founded in 2024 - for $400M.  Koi protects 500,000+ endpoints worldwide, securing enterprises against rogue AI agents, risky plugins & next-gen supply chain threats.  Israeli innovation",Israel=aggressor(0.15); Paloaltonetworks=aggressor(0.15); Koi=aggressor(0.15); Ko=savior(0.85); AI=aggressor(0.15); Israel=neutral(0.0),Ko --protects--> endpoints (0.45),ביטחון והישרדות,,,,,,,,
Zionist,You can't just erase the thousands of years of Jewish presence in Hebron or Safed.,Jewish=neutral(0.0); Hebron=neutral(0.0); Safed=neutral(0.0),,,,,,,,,,
